0.0,[debug],turtlebot4,available-skills,['send_message', 'wait_message', 'approach_person', 'approach_robot', 'authenticate_person', 'deposit', 'navigation', 'pick_up'],
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=STARTED, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
0.0,[info],turtlebot4,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 25.37, -1.5707963267948966, True], [-37.0, 18.93, 0.0, True], [-33.9, 18.93, 3.14, False]])
