,index,exec_group,scenario_id,code,treatment,executor,ttc,failure_time,end_state,end_battery_level,total_time_wall_clock,last_battery_levels,has_failure,runtime_exceptions,result,idx
0,0,les-01,19,aacaap,planned,turtlebot4,,425.15,low-battery,0.0541,632.61,{'turtlebot4': 0.0541},True,,,"(0, 'les-01', '19')"
1,1,les-01,22,aacbap,planned,turtlebot4,,423.68,low-battery,0.0541,655.63,{'turtlebot4': 0.0541},True,,,"(1, 'les-01', '22')"
2,2,les-01,25,aaccap,planned,turtlebot4,,424.03,low-battery,0.0541,659.64,{'turtlebot4': 0.0541},True,,,"(2, 'les-01', '25')"
3,3,les-01,28,abaaap,planned,turtlebot4,,901.0,timeout-sim,0.1043,1290.21,{'turtlebot4': 0.1043},True,,,"(3, 'les-01', '28')"
4,4,les-01,36,abaccp,planned,,,,timeout-wall,,2700.61,,False,,,"(4, 'les-01', '36')"
5,5,les-01,37,abbaap,planned,turtlebot4,,901.02,timeout-sim,0.1043,1272.22,{'turtlebot4': 0.1043},True,,,"(5, 'les-01', '37')"
6,6,les-01,61,acacap,planned,turtlebot3,,901.0,timeout-sim,0.3576,1286.25,{'turtlebot3': 0.3576},True,,,"(6, 'les-01', '61')"
7,7,les-01,62,acacbp,planned,turtlebot6,,900.02,timeout-sim,0.27190000000000003,1212.15,{'turtlebot6': 0.27190000000000003},True,,,"(7, 'les-01', '62')"
8,8,les-01,63,acaccp,planned,turtlebot6,,901.02,timeout-sim,0.27190000000000003,1233.17,{'turtlebot6': 0.27190000000000003},True,,,"(8, 'les-01', '63')"
9,9,les-01,67,acbbap,planned,turtlebot3,,900.02,timeout-sim,0.1754,1244.19,{'turtlebot3': 0.1754},True,,,"(9, 'les-01', '67')"
10,10,les-02,19,aacaap,planned,turtlebot4,,424.35,low-battery,0.0541,629.6,{'turtlebot4': 0.0541},True,,,"(10, 'les-02', '19')"
11,11,les-02,20,aacabp,planned,,,,timeout-wall,,2700.67,,False,,,"(11, 'les-02', '20')"
12,12,les-02,22,aacbap,planned,turtlebot4,,424.1,low-battery,0.0541,645.63,{'turtlebot4': 0.0541},True,,,"(12, 'les-02', '22')"
