0.0,0.0,[debug],logger,init,time
ROBOTS_CONFIG=[{"avg_speed": 0.15, "battery_charge": 0.22, "battery_discharge_rate": 0.00011, "id": 0, "local_plan": [["navigation", ["PC Room 7", [[-39.44, 33.95, 0.0], [-37.0, 33.95], [-37.0, 16.0], [-13.5, 16.0], [-13.5, 18.0, -1.57]]]], ["approach_person", ["nurse"]], ["authenticate_person", ["nurse"]], ["operate_drawer", ["open"]], ["send_message", ["nurse"]], ["wait_message", ["r1"]], ["operate_drawer", ["close"]], ["navigation", ["Laboratory", [[-13.5, 18.0, -1.57], [-13.5, 16.0], [-26.0, 16.0], [-26.0, 13.0, 1.57]]]], ["approach_robot", ["lab_arm"]], ["operate_drawer", ["open"]], ["send_message", ["lab_arm"]], ["wait_message", ["r1"]], ["operate_drawer", ["close"]]], "location": "IC Room 4", "position": [-39.44, 33.95, 0.0], "skills": ["approach_person", "approach_robot", "authenticate_person", "deposit", "navigation", "operate_drawer", "pick_up"]}, {"avg_speed": 0.15, "battery_charge": 0.56, "battery_discharge_rate": 0.00014000000000000001, "id": 1, "local_plan": null, "location": "PC Room 5", "position": [-21.0, 18.0, -1.57], "skills": ["approach_person", "approach_robot", "authenticate_person", "deposit", "navigation", "operate_drawer", "pick_up"]}, {"avg_speed": 0.15, "battery_charge": 0.55, "battery_discharge_rate": 0.00012000000000000002, "id": 2, "local_plan": null, "location": "PC Room 4", "position": [-27.23, 18.0, -1.57], "skills": ["approach_person", "approach_robot", "authenticate_person", "deposit", "navigation", "operate_drawer", "pick_up"]}, {"avg_speed": 0.15, "battery_charge": 0.44, "battery_discharge_rate": 0.00016, "id": 3, "local_plan": null, "location": "PC Room 3", "position": [-28.5, 18.0, -1.57], "skills": ["approach_person", "approach_robot", "authenticate_person", "deposit", "navigation", "pick_up"]}, {"avg_speed": 0.15, "battery_charge": 0.15, "battery_discharge_rate": 0.00015000000000000001, "id": 4, "local_plan": null, "location": "IC Room 3", "position": [-40.23, 25.37, 0.0], "skills": ["approach_person", "approach_robot", "authenticate_person", "deposit", "navigation", "operate_drawer", "pick_up"]}]
NURSES_CONFIG=[{"location": "PC Room 7", "position": [-12.5, 19.0, -1.57]}]
logger,1623146632666215658,Simulation open
0.0,[debug],logger,init,subcribing to in the topic /log
1.73333334923,[debug],turtlebot3,move-base-info,Move_base is up and ok....,
1.8833334446,[debug],turtlebot3,move-base-info,Move_base is up and ok....,
1.90000009537,[debug],turtlebot2,move-base-info,Move_base is up and ok....,
1.90000009537,[debug],turtlebot2,move-base-info,Move_base is up and ok....,
1.96666669846,[debug],turtlebot5,move-base-info,Move_base is up and ok....,
1.96666669846,[debug],turtlebot5,move-base-info,Move_base is up and ok....,
2.06666660309,[debug],turtlebot4,move-base-info,Move_base is up and ok....,
2.06666660309,[debug],turtlebot4,move-base-info,Move_base is up and ok....,
2.18333339691,[debug],turtlebot1,move-base-info,Move_base is up and ok....,
2.18333339691,[debug],turtlebot1,move-base-info,Move_base is up and ok....,
9.68333339691,[info],turtlebot1,skill-life-cycle,navigation,(status=STARTED, parameters=[[-37.0, 33.95, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-13.5, 16.0, 1.5707963267948966, True], [-13.5, 18.0, -1.57, False]])
21.8499999046,[debug],turtlebot1,simulation,robot-pose,x=-39.00;y=34.19;yaw=0.59
21.8499999046,[debug],turtlebot1,simulation,robot-pose,x=-39.00;y=34.19;yaw=0.59
24.3333332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
24.3333332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
24.4166667461,[debug],turtlebot3,simulation,robot-pose,x=-27.23;y=18.02;yaw=-1.59
24.5833332539,[debug],turtlebot3,simulation,robot-pose,x=-27.23;y=18.02;yaw=-1.59
24.6833333969,[debug],turtlebot4,simulation,robot-pose,x=-28.68;y=17.88;yaw=-0.79
24.6833333969,[debug],turtlebot4,simulation,robot-pose,x=-28.68;y=17.88;yaw=-0.79
25.0,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.34
25.0,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.34
36.8499999046,[debug],turtlebot1,simulation,robot-pose,x=-37.80;y=34.51;yaw=-0.46
36.8499999046,[debug],turtlebot1,simulation,robot-pose,x=-37.80;y=34.51;yaw=-0.46
39.3333332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
39.3333332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
39.4166667461,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.59
39.5833332539,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.59
39.6833333969,[debug],turtlebot4,simulation,robot-pose,x=-28.68;y=17.88;yaw=-0.80
39.6833333969,[debug],turtlebot4,simulation,robot-pose,x=-28.68;y=17.88;yaw=-0.80
40.0,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.33
40.0,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.33
44.8666665554,[debug],turtlebot1,move-base-info,Hooray, the base moved arrived,(x=-37;y=33.95)
44.8666665554,[debug],turtlebot1,move-base-info,Hooray, the base moved arrived,(x=-37;y=33.95)
44.8666665554,[debug],turtlebot1,task-update,navigation,way-point-reached,25.0%
51.8499999046,[debug],turtlebot1,simulation,robot-pose,x=-37.35;y=34.05;yaw=-1.17
51.8499999046,[debug],turtlebot1,simulation,robot-pose,x=-37.35;y=34.05;yaw=-1.17
54.3333332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
54.3333332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
54.4166667461,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.58
54.5666666031,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.58
54.6833333969,[debug],turtlebot4,simulation,robot-pose,x=-28.69;y=17.88;yaw=-0.80
54.6833333969,[debug],turtlebot4,simulation,robot-pose,x=-28.69;y=17.88;yaw=-0.80
55.0,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.33
55.0,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.33
61.4166667461,[info],turtlebot1,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-37.0, 33.95, -1.5707963267948966, True], [-37.0, 16.0, 0.0, True], [-13.5, 16.0, 1.5707963267948966, True], [-13.5, 18.0, -1.57, False]])
66.8499999046,[debug],turtlebot1,simulation,robot-pose,x=-36.95;y=32.08;yaw=-1.61
66.8499999046,[debug],turtlebot1,simulation,robot-pose,x=-36.95;y=32.08;yaw=-1.61
69.3333332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
69.3333332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
69.4166667461,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.58
69.5999999046,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.58
69.6833333969,[debug],turtlebot4,simulation,robot-pose,x=-28.69;y=17.87;yaw=-0.79
69.6833333969,[debug],turtlebot4,simulation,robot-pose,x=-28.69;y=17.87;yaw=-0.79
70.0,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.33
70.0,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.33
81.8499999046,[debug],turtlebot1,simulation,robot-pose,x=-36.94;y=29.60;yaw=-1.50
81.8499999046,[debug],turtlebot1,simulation,robot-pose,x=-36.94;y=29.60;yaw=-1.50
84.3333332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
84.3333332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
84.4166667461,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.58
