id,Sim TTC,Wall TTC,Failure,Low Battery,Tiemout,Success
00,293.87,360.48,0,0,0,1
01,455.35,546.76,0,0,0,1
02,498.82,603.82,0,0,0,1
03,312.62,381.51,0,0,0,1
04,789.57,900.35,0,0,1,0
05,743.20,900.34,0,0,1,0
06,754.40,900.33,0,0,1,0
07,400.95,480.68,0,0,0,1
08,286.75,326.43,0,0,0,1
09,260.80,300.40,0,0,0,1
10,296.88,335.45,0,0,0,1
11,663.95,732.09,0,0,0,1
12,445.33,490.71,0,0,0,1
13,204.17,235.32,0,0,0,1
14,671.50,729.06,0,0,0,1
15,820.77,900.32,0,0,1,0
16,405.42,449.63,0,0,0,1
17,324.45,365.47,0,0,0,1
18,407.17,449.61,0,0,0,1
19,431.60,481.70,0,0,0,1
20,576.60,631.92,0,0,0,1
21,328.55,367.51,0,0,0,1
22,837.48,900.37,0,0,1,0
23,521.03,568.79,0,1,0,0
24,368.82,408.56,0,0,0,1
25,428.65,469.64,0,0,0,1
26,865.93,900.37,0,0,1,0
27,435.37,486.66,0,0,0,1
28,805.77,900.33,0,0,1,0
29,305.40,340.47,0,0,0,1
30,213.05,240.37,0,0,0,1
31,732.97,797.19,0,0,0,1
32,231.08,261.32,0,0,0,1
33,676.50,738.14,0,0,0,1
34,822.03,900.37,0,0,1,0
35,822.82,900.36,0,0,1,0
36,228.10,260.31,0,0,0,1
37,257.27,292.38,0,0,0,1
38,369.07,411.57,0,0,0,1
39,429.08,477.64,0,0,0,1
40,306.23,343.43,0,0,0,1
41,229.95,261.37,0,0,0,1
42,209.07,239.31,0,0,0,1
43,818.48,900.37,0,0,1,0
44,805.55,900.36,0,0,1,0
45,357.27,399.57,0,0,0,1
46,578.63,630.90,0,0,0,1
47,292.13,328.42,0,0,0,1
48,404.05,448.66,0,0,0,1
49,424.68,467.66,0,0,0,1
50,591.85,652.95,0,0,0,1
51,328.18,368.51,0,0,0,1
52,821.03,900.30,0,0,1,0
53,578.60,633.94,0,0,0,1
54,465.50,515.74,0,0,0,1
55,592.95,662.95,0,0,0,1
56,791.28,900.35,0,0,1,0
57,433.72,521.70,0,0,0,1
58,429.97,524.73,0,0,0,1
59,742.43,900.36,0,0,1,0
60,207.33,260.33,0,0,0,1
61,667.18,900.34,0,0,1,0
62,543.32,733.04,0,0,0,1
63,471.52,635.92,0,0,0,1
64,244.97,345.49,0,0,0,1
65,262.03,372.47,0,0,0,1
66,188.65,279.43,0,0,0,1
67,196.80,273.39,0,0,0,1
68,263.52,374.50,0,0,0,1
69,216.72,308.42,0,0,0,1
70,266.67,365.51,0,0,0,1
71,418.35,553.81,0,0,0,1
72,517.95,699.09,0,0,0,1
73,278.27,371.52,0,0,0,1
74,298.58,375.53,0,0,0,1
75,468.77,583.83,0,0,0,1
76,608.93,750.13,0,0,0,1
77,730.32,900.40,0,0,1,0
78,564.03,710.07,0,0,0,1
79,579.33,715.03,0,0,0,1
80,391.47,483.71,0,0,0,1
