0.0,[info],turtlebot3,skill-life-cycle,init_robobt,(status=RUNNING, parameters=[])
0.0,[info],turtlebot5,skill-life-cycle,init_robobt,(status=RUNNING, parameters=[])
0.0,[info],turtlebot2,skill-life-cycle,init_robobt,(status=RUNNING, parameters=[])
0.0,[info],turtlebot4,skill-life-cycle,init_robobt,(status=RUNNING, parameters=[])
0.0,[debug],turtlebot5,available-skills,['send_message', 'wait_message', 'approach_person', 'approach_robot', 'authenticate_person', 'deposit', 'navigation', 'operate_drawer', 'pick_up'],
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=STARTED, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[info],turtlebot5,skill-life-cycle,navigation,(status=RUNNING, parameters=[[-21.0, 16.0, 3.141592653589793, True], [-37.0, 16.0, 1.5707963267948966, True], [-37.0, 21.5, 3.141592653589793, True], [-38.0, 21.5, 0.0, False]])
0.0,[debug],simulation closed,timeout,execution-wall-clock=900.8034973144531
