0.0,0.0,[debug],logger,init,time
ROBOTS_CONFIG=[{"avg_speed": 0.15, "battery_charge": 0.68, "battery_discharge_rate": 0.00011, "id": 0, "local_plan": [["navigation", ["IC Room 5", [[-39.44, 33.95, 0.0], [-37.0, 33.95], [-37.0, 33.98], [-32.88, 33.98, 3.14]]]], ["approach_person", ["nurse"]], ["authenticate_person", ["nurse"]], ["operate_drawer", ["open"]], ["send_message", ["nurse"]], ["wait_message", ["r1"]], ["operate_drawer", ["close"]], ["navigation", ["Laboratory", [[-32.88, 33.98, 3.14], [-37.0, 33.98], [-37.0, 16.0], [-26.0, 16.0], [-26.0, 13.0, 1.57]]]], ["approach_robot", ["lab_arm"]], ["operate_drawer", ["open"]], ["send_message", ["lab_arm"]], ["wait_message", ["r1"]], ["operate_drawer", ["close"]]], "location": "IC Room 4", "position": [-39.44, 33.95, 0.0], "skills": ["approach_person", "approach_robot", "authenticate_person", "deposit", "navigation", "operate_drawer", "pick_up"]}, {"avg_speed": 0.15, "battery_charge": 0.79, "battery_discharge_rate": 0.0001, "id": 1, "local_plan": null, "location": "PC Room 5", "position": [-21.0, 18.0, -1.57], "skills": ["approach_person", "approach_robot", "authenticate_person", "deposit", "navigation", "operate_drawer", "pick_up"]}, {"avg_speed": 0.15, "battery_charge": 0.25, "battery_discharge_rate": 0.00015000000000000001, "id": 2, "local_plan": null, "location": "PC Room 4", "position": [-27.23, 18.0, -1.57], "skills": ["approach_person", "approach_robot", "authenticate_person", "deposit", "navigation", "operate_drawer", "pick_up"]}, {"avg_speed": 0.15, "battery_charge": 0.59, "battery_discharge_rate": 0.00019, "id": 3, "local_plan": null, "location": "PC Room 3", "position": [-28.5, 18.0, -1.57], "skills": ["approach_person", "approach_robot", "authenticate_person", "deposit", "navigation", "operate_drawer", "pick_up"]}, {"avg_speed": 0.15, "battery_charge": 0.2, "battery_discharge_rate": 0.00014000000000000001, "id": 4, "local_plan": null, "location": "IC Room 3", "position": [-40.23, 25.37, 0.0], "skills": ["approach_person", "approach_robot", "authenticate_person", "deposit", "navigation", "operate_drawer", "pick_up"]}]
NURSES_CONFIG=[{"location": "IC Room 5", "position": [-31.880000000000003, 34.98, 3.14]}]
logger,1623233888198562383,Simulation open
0.0,[debug],logger,init,subcribing to in the topic /log
1.43333339691,[debug],turtlebot2,move-base-info,Move_base is up and ok....,
1.56666660309,[debug],turtlebot4,move-base-info,Move_base is up and ok....,
1.93333339691,[debug],turtlebot5,move-base-info,Move_base is up and ok....,
2.03333330154,[debug],turtlebot1,move-base-info,Move_base is up and ok....,
2.28333330154,[debug],turtlebot3,move-base-info,Move_base is up and ok....,
22.1333334446,[debug],turtlebot1,simulation,robot-pose,x=-38.91;y=34.25;yaw=0.60
24.5833332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
24.6666667461,[debug],turtlebot3,simulation,robot-pose,x=-27.23;y=18.02;yaw=-1.59
24.75,[debug],turtlebot4,simulation,robot-pose,x=-28.68;y=17.88;yaw=-0.79
24.8666665554,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.34
37.1333334446,[debug],turtlebot1,simulation,robot-pose,x=-37.71;y=34.47;yaw=-0.59
39.5833332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
39.6666667461,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.59
39.75,[debug],turtlebot4,simulation,robot-pose,x=-28.68;y=17.88;yaw=-0.80
39.8666665554,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.33
47.5,[debug],turtlebot1,move-base-info,Hooray, the base moved arrived,(x=-37;y=33.95)
52.1333334446,[debug],turtlebot1,simulation,robot-pose,x=-37.37;y=34.16;yaw=1.52
54.5833332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
54.6666667461,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.58
54.75,[debug],turtlebot4,simulation,robot-pose,x=-28.69;y=17.88;yaw=-0.80
54.8666665554,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.33
56.6333334446,[debug],turtlebot1,move-base-info,Hooray, the base moved arrived,(x=-37;y=33.98)
67.1333334446,[debug],turtlebot1,simulation,robot-pose,x=-36.96;y=34.30;yaw=0.20
69.5833332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
69.6666667461,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.58
69.75,[debug],turtlebot4,simulation,robot-pose,x=-28.69;y=17.87;yaw=-0.79
69.8666665554,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.33
82.1333334446,[debug],turtlebot1,simulation,robot-pose,x=-35.73;y=34.66;yaw=0.18
84.5833332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
84.6666667461,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.58
84.75,[debug],turtlebot4,simulation,robot-pose,x=-28.69;y=17.87;yaw=-0.78
84.8666665554,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.33
97.1333334446,[debug],turtlebot1,simulation,robot-pose,x=-34.52;y=34.37;yaw=-0.44
99.5833332539,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
99.6666667461,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.58
99.75,[debug],turtlebot4,simulation,robot-pose,x=-28.69;y=17.88;yaw=-0.79
99.8666665554,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.33
112.133333445,[debug],turtlebot1,simulation,robot-pose,x=-33.36;y=34.02;yaw=-0.50
114.583333254,[debug],turtlebot2,simulation,robot-pose,x=-20.99;y=18.00;yaw=-1.54
114.666666746,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.58
114.75,[debug],turtlebot4,simulation,robot-pose,x=-28.69;y=17.88;yaw=-0.79
114.866666555,[debug],turtlebot5,simulation,robot-pose,x=-40.39;y=25.23;yaw=0.33
118.866666555,[debug],turtlebot1,move-base-info,Hooray, the base moved arrived,(x=-32.88;y=33.98)
119.5,[info],nurse,sync,received-request,(status=sending-request)
122.433333397,[info],nurse,sync,wait-message,(status=message-received)
127.133333445,[debug],turtlebot1,simulation,robot-pose,x=-33.29;y=34.00;yaw=-3.09
129.583333254,[debug],turtlebot2,simulation,robot-pose,x=-21.00;y=18.00;yaw=-1.54
129.666666746,[debug],turtlebot3,simulation,robot-pose,x=-27.22;y=18.03;yaw=-1.58
129.75,[debug],turtlebot4,simulation,robot-pose,x=-28.69;y=17.88;yaw=-0.79
