id,Sim TTC,Wall TTC,Failure,Low Battery,Tiemout,Success
00,217.03,311.41,0,0,0,1
01,366.63,505.55,0,0,0,1
02,262.18,372.47,0,0,0,1
03,202.65,284.36,0,0,0,1
04,198.90,282.34,0,0,0,1
05,306.87,433.54,0,0,0,1
06,695.80,900.10,0,0,1,0
07,366.57,513.58,0,0,0,1
08,216.77,307.39,0,0,0,1
09,232.38,327.41,0,0,0,1
11,503.73,674.80,0,0,0,1
12,546.85,705.86,0,0,0,1
13,225.47,293.35,0,0,0,1
14,504.12,633.76,0,0,0,1
15,493.23,614.73,0,0,0,1
16,230.67,299.33,0,0,0,1
17,225.27,291.32,0,0,0,1
18,440.00,551.65,0,0,0,1
19,434.28,547.66,0,0,0,1
20,312.65,388.49,0,0,0,1
21,286.27,361.47,0,0,0,1
22,321.93,408.50,0,0,0,1
23,518.98,665.76,0,1,0,0
24,365.05,503.62,0,0,0,1
25,442.30,600.69,0,0,0,1
26,275.67,391.46,0,0,0,1
27,411.75,579.70,0,0,0,1
28,411.73,564.72,0,0,0,1
29,232.00,327.49,0,0,0,1
30,219.17,301.34,0,0,0,1
31,307.80,422.54,0,0,0,1
32,231.92,323.39,0,0,0,1
33,381.77,526.66,0,0,0,1
34,333.35,437.53,0,0,0,1
35,784.02,900.09,0,0,1,0
36,789.85,900.05,0,0,1,0
37,206.97,261.31,0,0,0,1
38,466.65,568.70,0,0,0,1
39,415.42,524.59,0,0,0,1
40,254.68,318.35,0,0,0,1
41,225.48,288.35,0,0,0,1
42,207.50,265.30,0,0,0,1
43,263.68,345.39,1,0,0,0
44,406.73,497.61,0,0,0,1
45,332.82,414.50,0,0,0,1
46,324.10,405.50,0,0,0,1
47,286.38,354.42,0,0,0,1
48,430.67,536.62,0,0,0,1
49,443.82,557.70,1,0,0,0
50,287.88,357.43,0,0,0,1
51,286.70,354.41,0,0,0,1
52,378.40,466.54,0,0,0,1
53,466.47,566.67,0,0,0,1
54,268.65,331.42,0,0,0,1
55,420.18,517.63,0,0,0,1
56,318.07,391.47,0,0,0,1
57,446.27,539.66,0,0,0,1
58,421.18,516.59,0,0,0,1
59,377.02,472.55,0,0,0,1
60,226.08,289.31,0,0,0,1
61,314.45,397.47,0,0,0,1
62,263.03,342.38,0,0,0,1
63,485.62,603.68,0,0,0,1
64,219.67,280.32,0,0,0,1
65,215.23,278.30,0,0,0,1
66,207.67,269.33,0,0,0,1
67,230.53,293.32,0,0,0,1
68,228.40,289.33,0,0,0,1
69,223.42,286.37,0,0,0,1
70,217.35,277.36,0,0,0,1
71,520.13,642.76,0,0,0,1
72,452.08,558.67,0,0,0,1
73,341.38,426.57,0,0,0,1
74,294.60,368.44,0,0,0,1
75,476.80,578.71,0,0,0,1
76,357.57,442.51,0,0,0,1
77,519.48,629.80,0,1,0,0
78,804.85,900.16,0,0,1,0
79,475.02,591.70,1,0,0,0
80,417.65,544.66,0,0,0,1
